>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_001389528.1 Aspergillus niger uncharacterized protein (An01g11550), partial mRNA
>XM_001389531.1 Aspergillus niger uncharacterized protein (An01g11580), partial mRNA
>XM_001389535.1 Aspergillus niger uncharacterized protein (An01g11620), partial mRNA
>XM_001389536.3 Aspergillus niger uncharacterized protein (An01g11630), partial mRNA
>XM_001389538.1 Aspergillus niger uncharacterized protein (An01g11650), partial mRNA
>XM_001389539.3 Aspergillus niger 1,4-beta-D-glucan cellobiohydrolase B precursor cbhB-Aspergillus niger (cbhB), partial mRNA
>XM_001389540.3 Aspergillus niger uncharacterized protein (An01g11670), partial mRNA
>XM_001389541.3 Aspergillus niger uncharacterized protein (An01g11680), partial mRNA
>XM_001389547.1 Aspergillus niger uncharacterized protein (An01g11740), partial mRNA
>XM_001389548.1 Aspergillus niger uncharacterized protein (An01g11750), partial mRNA
>XM_001389549.3 Aspergillus niger uncharacterized protein (An01g11760), partial mRNA
>XM_001389551.1 Aspergillus niger uncharacterized protein (An01g11780), partial mRNA
>XM_001389552.1 Aspergillus niger uncharacterized protein (An01g11790), partial mRNA
>XM_001389553.1 Aspergillus niger uncharacterized protein (An01g11800), partial mRNA
>XM_001389554.3 Aspergillus niger uncharacterized protein (An01g11810), partial mRNA
>XM_001389562.3 Aspergillus niger uncharacterized protein (An01g11900), partial mRNA
>XM_001389563.3 Aspergillus niger uncharacterized protein (An01g11910), partial mRNA
>XM_001389564.1 Aspergillus niger uncharacterized protein (An01g11920), partial mRNA
>XM_001389567.3 Aspergillus niger uncharacterized protein (An01g11950), partial mRNA
>XM_001389568.3 Aspergillus niger uncharacterized protein (An01g11960), partial mRNA
>XM_001389569.1 Aspergillus niger uncharacterized protein (An01g11970), partial mRNA
>XM_001389570.3 Aspergillus niger uncharacterized protein (An01g11990), partial mRNA
>XM_001389571.1 Aspergillus niger uncharacterized protein (An01g12000), partial mRNA
>XM_001389573.1 Aspergillus niger uncharacterized protein (An01g12020), partial mRNA
>XM_001389576.1 Aspergillus niger uncharacterized protein (An01g12050), partial mRNA
>XM_001389581.3 Aspergillus niger uncharacterized protein (An01g12100), partial mRNA
>XM_001389583.3 Aspergillus niger uncharacterized protein (An01g12120), partial mRNA
>XM_001389584.3 Aspergillus niger uncharacterized protein (An01g12130), partial mRNA
>XM_001389585.3 Aspergillus niger beta-galactosidase lacA-Aspergillus niger (lacA+), partial mRNA
>XM_001389587.3 Aspergillus niger uncharacterized protein (An01g12170), partial mRNA
>XM_001389590.1 Aspergillus niger uncharacterized protein (An01g12200), partial mRNA
>XM_001389591.3 Aspergillus niger uncharacterized protein (An01g12210), partial mRNA
>XM_001389592.3 Aspergillus niger uncharacterized protein (An01g12220), partial mRNA
>XM_001389593.3 Aspergillus niger uncharacterized protein (An01g12230), partial mRNA
>XM_001389594.3 Aspergillus niger uncharacterized protein (An01g12240), partial mRNA
>XM_001389595.3 Aspergillus niger hypothetical protein (An01g12250), partial mRNA
>XM_001389597.1 Aspergillus niger uncharacterized protein (An01g12270), partial mRNA
>XM_001389598.3 Aspergillus niger uncharacterized protein (An01g12290), partial mRNA
>XM_001389599.1 Aspergillus niger uncharacterized protein (An01g12300), partial mRNA
>XM_001389600.1 Aspergillus niger uncharacterized protein (An01g12310), partial mRNA
>XM_001389601.3 Aspergillus niger uncharacterized protein (An01g12320), partial mRNA
>XM_001389602.3 Aspergillus niger uncharacterized protein (An01g12330), partial mRNA
>XM_001389604.3 Aspergillus niger hypothetical protein [truncated ORF] (An01g12340), partial mRNA
>XM_001389605.3 Aspergillus niger uncharacterized protein (An01g12360), partial mRNA
>XM_001389607.3 Aspergillus niger uncharacterized protein (An01g12380), partial mRNA
>XM_001389608.1 Aspergillus niger uncharacterized protein (An01g12390), partial mRNA
>XM_001389610.1 Aspergillus niger uncharacterized protein (An01g12400), partial mRNA
>XM_001389611.1 Aspergillus niger uncharacterized protein (An01g12410), partial mRNA
>XM_001389612.3 Aspergillus niger 60S ribosomal protein uL22 (An01g12420), partial mRNA
>XM_001389614.3 Aspergillus niger uncharacterized protein (An01g12440), partial mRNA
>XM_001389615.3 Aspergillus niger uncharacterized protein (An01g12450), partial mRNA
>XM_001389616.1 Aspergillus niger uncharacterized protein (An01g12460), partial mRNA
>XM_001389618.3 Aspergillus niger uncharacterized protein (An01g12480), partial mRNA
>XM_001389620.3 Aspergillus niger uncharacterized protein (An01g12500), partial mRNA
>XM_001389621.3 Aspergillus niger uncharacterized protein (An01g12520), partial mRNA
>XM_001389622.3 Aspergillus niger uncharacterized protein (An01g12530), partial mRNA
>XM_001389624.3 Aspergillus niger uncharacterized protein (An01g12550), partial mRNA
>XM_001389626.3 Aspergillus niger uncharacterized protein (An01g12570), partial mRNA
>XM_001389627.1 Aspergillus niger uncharacterized protein (An01g12580), partial mRNA
>XM_001389628.3 Aspergillus niger uncharacterized protein (An01g12590), partial mRNA
>XM_001389629.1 Aspergillus niger uncharacterized protein (An01g12600), partial mRNA
>XM_001389633.1 Aspergillus niger uncharacterized protein (An01g12640), partial mRNA
>XM_001389638.1 Aspergillus niger uncharacterized protein (An01g12700), partial mRNA
>XM_001389639.3 Aspergillus niger uncharacterized protein (An01g12710), partial mRNA
>XM_001389642.1 Aspergillus niger uncharacterized protein (An01g12740), partial mRNA
>XM_001389646.1 Aspergillus niger uncharacterized protein (An01g12780), partial mRNA
>XM_001389648.3 Aspergillus niger uncharacterized protein (An01g12800), partial mRNA
>XM_001389650.3 Aspergillus niger uncharacterized protein (An01g12820), partial mRNA
>XM_001389660.3 Aspergillus niger uncharacterized protein (An01g12950), partial mRNA
>XM_001389662.1 Aspergillus niger uncharacterized protein (An01g12970), partial mRNA
>XM_001389664.3 Aspergillus niger uncharacterized protein (An01g12990), partial mRNA
>XM_001389665.1 Aspergillus niger uncharacterized protein (An01g13000), partial mRNA
>XM_001389666.3 Aspergillus niger uncharacterized protein (An01g13010), partial mRNA
>XM_001389668.3 Aspergillus niger uncharacterized protein (An01g13030), partial mRNA
>XM_001389673.3 Aspergillus niger uncharacterized protein (An01g13080), partial mRNA
>XM_001389675.3 Aspergillus niger uncharacterized protein (An01g13100), partial mRNA
>XM_001389677.3 Aspergillus niger uncharacterized protein (An01g13120), partial mRNA
>XM_001389678.3 Aspergillus niger uncharacterized protein (An01g13130), partial mRNA
>XM_001389680.3 Aspergillus niger uncharacterized protein (An01g13160), partial mRNA
>XM_001389683.3 Aspergillus niger 40S ribosomal protein uS7 (An01g13190), partial mRNA
>XM_001389684.1 Aspergillus niger uncharacterized protein (An01g13200), partial mRNA
>XM_001389685.1 Aspergillus niger uncharacterized protein (An01g13210), partial mRNA
>XM_001389686.1 Aspergillus niger uncharacterized protein (An01g13220), partial mRNA
>XM_001389688.1 Aspergillus niger uncharacterized protein (An01g13240), partial mRNA
>XM_001389690.1 Aspergillus niger uncharacterized protein (An01g13260), partial mRNA
>XM_001389691.3 Aspergillus niger uncharacterized protein (An01g13270), partial mRNA
>XM_001389692.3 Aspergillus niger uncharacterized protein (An01g13280), partial mRNA
>XM_001389698.1 Aspergillus niger uncharacterized protein (An01g13340), partial mRNA
>XM_001389699.3 Aspergillus niger uncharacterized protein (An01g13350), partial mRNA
>XM_001389703.1 Aspergillus niger uncharacterized protein (An01g13400), partial mRNA
>XM_001389708.3 Aspergillus niger uncharacterized protein (An01g13450), partial mRNA
>XM_001389709.3 Aspergillus niger uncharacterized protein (An01g13460), partial mRNA
>XM_001389710.3 Aspergillus niger uncharacterized protein (An01g13470), partial mRNA
>XM_001389717.3 Aspergillus niger uncharacterized protein (An01g13530), partial mRNA
>XM_001389720.3 Aspergillus niger uncharacterized protein (An01g13560), partial mRNA
>XM_001389722.3 Aspergillus niger uncharacterized protein (An01g13580), partial mRNA
>XM_001389723.1 Aspergillus niger uncharacterized protein (An01g13590), partial mRNA
>XM_001389724.3 Aspergillus niger uncharacterized protein (An01g13600), partial mRNA
>XM_001389727.3 Aspergillus niger uncharacterized protein (An01g13630), partial mRNA
>XM_001389728.3 Aspergillus niger uncharacterized protein (An01g13640), partial mRNA
>XM_001389729.3 Aspergillus niger uncharacterized protein (An01g13650), partial mRNA
>XM_001389730.3 Aspergillus niger uncharacterized protein (An01g13660), partial mRNA
>XM_001389731.1 Aspergillus niger uncharacterized protein (An01g13670), partial mRNA
>XM_001389732.3 Aspergillus niger uncharacterized protein (An01g13680), partial mRNA
>XM_001389739.3 Aspergillus niger uncharacterized protein (An01g13750), partial mRNA
>XM_001389742.3 Aspergillus niger hypothetical protein (An01g13780), partial mRNA
>XM_001389744.1 Aspergillus niger uncharacterized protein (An01g13810), partial mRNA
>XM_001389745.1 Aspergillus niger uncharacterized protein (An01g13820), partial mRNA
>XM_001389750.3 Aspergillus niger uncharacterized protein (An01g13880), partial mRNA
>XM_001389751.3 Aspergillus niger uncharacterized protein (An01g13890), partial mRNA
>XM_001389754.3 Aspergillus niger uncharacterized protein (An01g13920), partial mRNA
>XM_001389756.1 Aspergillus niger uncharacterized protein (An01g13940), partial mRNA
>XM_001389757.1 Aspergillus niger uncharacterized protein (An01g13950), partial mRNA
>XM_001389758.3 Aspergillus niger uncharacterized protein (An01g13960), partial mRNA
>XM_001389760.1 Aspergillus niger uncharacterized protein (An01g13980), partial mRNA
>XM_001389763.1 Aspergillus niger uncharacterized protein (An01g14010), partial mRNA
>XM_001389765.1 Aspergillus niger uncharacterized protein (An01g14030), partial mRNA
>XM_001389766.1 Aspergillus niger uncharacterized protein (An01g14040), partial mRNA
>XM_001389771.3 Aspergillus niger 40S ribosomal protein uS8 (An01g14080), partial mRNA
>XM_001389772.1 Aspergillus niger uncharacterized protein (An01g14090), partial mRNA
>XM_001389774.3 Aspergillus niger uncharacterized protein (An01g14110), partial mRNA
>XM_001389775.1 Aspergillus niger uncharacterized protein (An01g14120), partial mRNA
>XM_001389776.3 Aspergillus niger beta-isopropylmalate dehydrogenase A leu2A-Aspergillus niger (leu2A), partial mRNA
>XM_001389777.3 Aspergillus niger uncharacterized protein (An01g14140), partial mRNA
>XM_001389779.3 Aspergillus niger uncharacterized protein (An01g14180), partial mRNA
>XM_001389780.3 Aspergillus niger uncharacterized protein (An01g14200), partial mRNA
>XM_001389782.1 Aspergillus niger uncharacterized protein (An01g14230), partial mRNA
>XM_001389783.3 Aspergillus niger uncharacterized protein (An01g14250), partial mRNA
>XM_001389784.3 Aspergillus niger uncharacterized protein (An01g14280), partial mRNA
>XM_001389786.3 Aspergillus niger uncharacterized protein (An01g14310), partial mRNA
>XM_001389792.3 Aspergillus niger uncharacterized protein (An01g14390), partial mRNA
>XM_001389794.1 Aspergillus niger uncharacterized protein (An01g14410), partial mRNA
>XM_001389795.3 Aspergillus niger uncharacterized protein (An01g14420), partial mRNA
>XM_001389798.3 Aspergillus niger uncharacterized protein (An01g14440), partial mRNA
>XM_001389799.1 Aspergillus niger uncharacterized protein (An01g14460), partial mRNA
>XM_001389802.1 Aspergillus niger uncharacterized protein (An01g14500), partial mRNA
>XM_001389803.3 Aspergillus niger uncharacterized protein (An01g14510), partial mRNA
>XM_001389804.3 Aspergillus niger uncharacterized protein (An01g14520), partial mRNA
>XM_001389805.3 Aspergillus niger uncharacterized protein (An01g14530), partial mRNA
>XM_001389807.1 Aspergillus niger uncharacterized protein (An01g14550), partial mRNA
>XM_001389810.1 Aspergillus niger uncharacterized protein (An01g14590), partial mRNA
>XM_001389811.3 Aspergillus niger uncharacterized protein (An01g14600), partial mRNA
>XM_001389813.1 Aspergillus niger uncharacterized protein (An01g14620), partial mRNA
>XM_001389814.3 Aspergillus niger hypothetical protein (An01g14630), partial mRNA
>XM_001389815.1 Aspergillus niger uncharacterized protein (An01g14640), partial mRNA
>XM_001389816.3 Aspergillus niger uncharacterized protein (An01g14650), partial mRNA
>XM_001389817.3 Aspergillus niger uncharacterized protein (An01g14660), partial mRNA
>XM_001389818.3 Aspergillus niger polygalacturonase E precursor pgaE-Aspergillus niger (pgaE), partial mRNA
>XM_001389819.3 Aspergillus niger uncharacterized protein (An01g14680), partial mRNA
>XM_001389822.1 Aspergillus niger uncharacterized protein (An01g14710), partial mRNA
>XM_001389825.3 Aspergillus niger glucose oxidase precursor goxC-Aspergillus niger [putative sequencing error] (goxC), partial mRNA
>XM_001389827.1 Aspergillus niger uncharacterized protein (An01g14760), partial mRNA
>XM_001389828.3 Aspergillus niger uncharacterized protein (An01g14770), partial mRNA
>XM_001389829.3 Aspergillus niger uncharacterized protein (An01g14780), partial mRNA
>XM_001389830.1 Aspergillus niger uncharacterized protein (An01g14790), partial mRNA
>XM_001389831.1 Aspergillus niger uncharacterized protein (An01g14800), partial mRNA
>XM_001389833.3 Aspergillus niger uncharacterized protein (An01g14820), partial mRNA
>XM_001389835.3 Aspergillus niger uncharacterized protein (An01g14840), partial mRNA
>XM_001389837.3 Aspergillus niger uncharacterized protein (An01g14860), partial mRNA
>XM_001389838.1 Aspergillus niger uncharacterized protein (An01g14870), partial mRNA
>XM_001389839.1 Aspergillus niger uncharacterized protein (An01g14880), partial mRNA
>XM_001389840.1 Aspergillus niger uncharacterized protein (An01g14890), partial mRNA
>XM_001389841.1 Aspergillus niger uncharacterized protein (An01g14900), partial mRNA
>XM_001389843.1 Aspergillus niger uncharacterized protein (An01g14920), partial mRNA
>XM_001389844.1 Aspergillus niger uncharacterized protein (An01g14930), partial mRNA
>XM_001389845.3 Aspergillus niger uncharacterized protein (An01g14940), partial mRNA
>XM_001389846.1 Aspergillus niger uncharacterized protein (An01g14950), partial mRNA
>XM_001389847.3 Aspergillus niger uncharacterized protein (An01g14960), partial mRNA
>XM_001389849.1 Aspergillus niger uncharacterized protein (An01g14980), partial mRNA
>XM_001389851.3 Aspergillus niger uncharacterized protein (An01g15000), partial mRNA
>XM_001389860.1 Aspergillus niger uncharacterized protein (An01g15100), partial mRNA
>XM_001389861.1 Aspergillus niger uncharacterized protein (An01g15110), partial mRNA
>XM_001389863.3 Aspergillus niger uncharacterized protein (An01g15130), partial mRNA
>XM_001389864.1 Aspergillus niger uncharacterized protein (An01g15140), partial mRNA
>XM_001389869.3 Aspergillus niger uncharacterized protein (An01g15190), partial mRNA
>XM_001389871.3 Aspergillus niger uncharacterized protein (An03g00010), partial mRNA
>XM_001389873.1 Aspergillus niger uncharacterized protein (An03g00030), partial mRNA
>XM_001389874.1 Aspergillus niger uncharacterized protein (An03g00040), partial mRNA
>XM_001389876.1 Aspergillus niger uncharacterized protein (An03g00060), partial mRNA
>XM_001389883.3 Aspergillus niger uncharacterized protein (An03g00130), partial mRNA
>XM_001389884.1 Aspergillus niger uncharacterized protein (An03g00140), partial mRNA
>XM_001389887.3 Aspergillus niger uncharacterized protein (An03g00170), partial mRNA
>XM_001389889.1 Aspergillus niger pectin lyase pelB-Aspergillus niger (pelB), partial mRNA
>XM_001389890.3 Aspergillus niger uncharacterized protein (An03g00200), partial mRNA
>XM_001389891.3 Aspergillus niger uncharacterized protein (An03g00210), partial mRNA
>XM_001389893.3 Aspergillus niger uncharacterized protein (An03g00230), partial mRNA
>XM_001389894.3 Aspergillus niger uncharacterized protein (An03g00240), partial mRNA
>XM_001389895.1 Aspergillus niger uncharacterized protein (An03g00250), partial mRNA
>XM_001389898.3 Aspergillus niger uncharacterized protein (An03g00280), partial mRNA
>XM_001389901.1 Aspergillus niger uncharacterized protein (An03g00310), partial mRNA
>XM_001389906.1 Aspergillus niger uncharacterized protein (An03g00360), partial mRNA
>XM_001389907.1 Aspergillus niger uncharacterized protein (An03g00370), partial mRNA
>XM_001389909.3 Aspergillus niger uncharacterized protein (An03g00380), partial mRNA
>XM_001389910.1 Aspergillus niger uncharacterized protein (An03g00400), partial mRNA
>XM_001389911.3 Aspergillus niger uncharacterized protein (An03g00410), partial mRNA
>XM_001389912.1 Aspergillus niger uncharacterized protein (An03g00420), partial mRNA
>XM_001389914.1 Aspergillus niger uncharacterized protein (An03g00450), partial mRNA
>XM_001389915.1 Aspergillus niger uncharacterized protein (An03g00460), partial mRNA
>XM_001389917.3 Aspergillus niger uncharacterized protein (An03g00480), partial mRNA
>XM_001389918.3 Aspergillus niger uncharacterized protein (An03g00490), partial mRNA
>XM_001389923.1 Aspergillus niger uncharacterized protein (An03g00550), partial mRNA
>XM_001389924.3 Aspergillus niger uncharacterized protein (An03g00560), partial mRNA
>XM_001389925.1 Aspergillus niger uncharacterized protein (An03g00580), partial mRNA
>XM_001389926.3 Aspergillus niger uncharacterized protein (An03g00590), partial mRNA
>XM_001389927.1 Aspergillus niger uncharacterized protein (An03g00600), partial mRNA
>XM_001389931.3 Aspergillus niger uncharacterized protein (An03g00640), partial mRNA
>XM_001389932.1 Aspergillus niger uncharacterized protein (An03g00650), partial mRNA
>XM_001389933.3 Aspergillus niger uncharacterized protein (An03g00660), partial mRNA
>XM_001389934.1 Aspergillus niger uncharacterized protein (An03g00670), partial mRNA
>XM_001389936.3 Aspergillus niger hypothetical protein (An03g00690), partial mRNA
>XM_001389938.3 Aspergillus niger uncharacterized protein (An03g00720), partial mRNA
>XM_001389939.1 Aspergillus niger uncharacterized protein (An03g00730), partial mRNA
>XM_001389943.3 Aspergillus niger uncharacterized protein (An03g00770), partial mRNA
>XM_001389944.3 Aspergillus niger uncharacterized protein (An03g00790), partial mRNA
>XM_001389950.1 Aspergillus niger uncharacterized protein (An03g00850), partial mRNA
>XM_001389955.1 Aspergillus niger uncharacterized protein (An03g00900), partial mRNA
>XM_001389956.1 Aspergillus niger uncharacterized protein (An03g00910), partial mRNA
>XM_001389957.1 Aspergillus niger uncharacterized protein (An03g00920), partial mRNA
>XM_001389961.3 Aspergillus niger 1,4-beta-D-arabinoxylan arabinofuranohydrolase axhA-Aspergillus niger (axhA), partial mRNA
>XM_001389963.3 Aspergillus niger uncharacterized protein (An03g00980), partial mRNA
>XM_001389966.3 Aspergillus niger uncharacterized protein (An03g01010), partial mRNA
>XM_001389968.3 Aspergillus niger uncharacterized protein (An03g01030), partial mRNA
>XM_001389971.1 Aspergillus niger hypothetical protein (An03g01060), partial mRNA
>XM_001389974.3 Aspergillus niger uncharacterized protein (An03g01090), partial mRNA
>XM_001389977.3 Aspergillus niger uncharacterized protein (An03g01120), partial mRNA
>XM_001389978.3 Aspergillus niger uncharacterized protein (An03g01130), partial mRNA
>XM_001389979.3 Aspergillus niger uncharacterized protein (An03g01140), partial mRNA
>XM_001389981.3 Aspergillus niger uncharacterized protein (An03g01160), partial mRNA
>XM_001389983.1 Aspergillus niger uncharacterized protein (An03g01180), partial mRNA
>XM_001389984.1 Aspergillus niger uncharacterized protein (An03g01190), partial mRNA
>XM_001389992.3 Aspergillus niger uncharacterized protein (An03g01270), partial mRNA
>XM_001389993.3 Aspergillus niger uncharacterized protein (An03g01280), partial mRNA
>XM_001389994.3 Aspergillus niger uncharacterized protein (An03g01290), partial mRNA
>XM_001389995.3 Aspergillus niger uncharacterized protein (An03g01300), partial mRNA
>XM_001389996.3 Aspergillus niger uncharacterized protein (An03g01310), partial mRNA
>XM_001389997.3 Aspergillus niger uncharacterized protein (An03g01320), partial mRNA
>XM_001390002.1 Aspergillus niger uncharacterized protein (An03g01370), partial mRNA
>XM_001390004.1 Aspergillus niger uncharacterized protein (An03g01390), partial mRNA
>XM_001390008.1 Aspergillus niger uncharacterized protein (An03g01430), partial mRNA
>XM_001390011.1 Aspergillus niger uncharacterized protein (An03g01460), partial mRNA
>XM_001390014.1 Aspergillus niger uncharacterized protein (An03g01490), partial mRNA
>XM_001390017.3 Aspergillus niger uncharacterized protein (An03g01520), partial mRNA
>XM_001390019.3 Aspergillus niger uncharacterized protein (An03g01540), partial mRNA
>XM_001390022.1 Aspergillus niger uncharacterized protein (An03g01570), partial mRNA
>XM_001390024.3 Aspergillus niger uncharacterized protein (An03g01590), partial mRNA
>XM_001390027.1 Aspergillus niger uncharacterized protein (An03g01620), partial mRNA
>XM_001390028.3 Aspergillus niger hypothetical protein (An03g01630), partial mRNA
>XM_001390030.1 Aspergillus niger uncharacterized protein (An03g01650), partial mRNA
>XM_001390031.3 Aspergillus niger uncharacterized protein (An03g01660), partial mRNA
>XM_001390033.3 Aspergillus niger hypothetical protein (An03g01680), partial mRNA
>XM_001390034.1 Aspergillus niger uncharacterized protein (An03g01690), partial mRNA
>XM_001390035.1 Aspergillus niger uncharacterized protein (An03g01700), partial mRNA
>XM_001390039.1 Aspergillus niger uncharacterized protein (An03g01740), partial mRNA
>XM_001390040.1 Aspergillus niger uncharacterized protein (An03g01750), partial mRNA
>XM_001390045.1 Aspergillus niger uncharacterized protein (An03g01800), partial mRNA
>XM_001390046.3 Aspergillus niger uncharacterized protein (An03g01810), partial mRNA
>XM_001390048.1 Aspergillus niger uncharacterized protein (An03g01830), partial mRNA
>XM_001390049.1 Aspergillus niger uncharacterized protein (An03g01850), partial mRNA
>XM_001390050.1 Aspergillus niger uncharacterized protein (An03g01860), partial mRNA
>XM_001390052.3 Aspergillus niger uncharacterized protein (An03g01880), partial mRNA
>XM_001390055.1 Aspergillus niger uncharacterized protein (An03g01910), partial mRNA
>XM_001390058.3 Aspergillus niger uncharacterized protein (An03g01940), partial mRNA
>XM_001390059.1 Aspergillus niger uncharacterized protein (An03g01950), partial mRNA
>XM_001390070.3 Aspergillus niger uncharacterized protein (An03g02080), partial mRNA
>XM_001390071.1 Aspergillus niger uncharacterized protein (An03g02090), partial mRNA
>XM_001390072.3 Aspergillus niger uncharacterized protein (An03g02100), partial mRNA
>XM_001390073.1 Aspergillus niger uncharacterized protein (An03g02110), partial mRNA
>XM_001390074.1 Aspergillus niger uncharacterized protein (An03g02120), partial mRNA
>XM_001390075.3 Aspergillus niger uncharacterized protein (An03g02130), partial mRNA
>XM_001390078.1 Aspergillus niger uncharacterized protein (An03g02160), partial mRNA
>XM_001390080.1 Aspergillus niger uncharacterized protein (An03g02180), partial mRNA
>XM_001390081.1 Aspergillus niger uncharacterized protein (An03g02190), partial mRNA
>XM_001390084.3 Aspergillus niger hypothetical protein (An03g02230), partial mRNA
>XM_001390085.3 Aspergillus niger hypothetical protein (An03g02240), partial mRNA
>XM_001390088.1 Aspergillus niger uncharacterized protein (An03g02270), partial mRNA
>XM_001390089.3 Aspergillus niger uncharacterized protein (An03g02280), partial mRNA
>XM_001390091.1 Aspergillus niger uncharacterized protein (An03g02300), partial mRNA
>XM_001390093.1 Aspergillus niger uncharacterized protein (An03g02320), partial mRNA
>XM_001390094.1 Aspergillus niger uncharacterized protein (An03g02330), partial mRNA
>XM_001390096.3 Aspergillus niger uncharacterized protein (An03g02360), partial mRNA
>XM_001390100.3 Aspergillus niger uncharacterized protein (An03g02400), partial mRNA
>XM_001390106.3 Aspergillus niger uncharacterized protein (An03g02480), partial mRNA
>XM_001390107.1 Aspergillus niger uncharacterized protein (An03g02490), partial mRNA
>XM_001390109.1 Aspergillus niger uncharacterized protein (An03g02510), partial mRNA
>XM_001390112.3 Aspergillus niger uncharacterized protein (An03g02530), partial mRNA
>XM_001390114.1 Aspergillus niger uncharacterized protein (An03g02550), partial mRNA
>XM_001390115.3 Aspergillus niger uncharacterized protein (An03g02560), partial mRNA
>XM_001390116.3 Aspergillus niger uncharacterized protein (An03g02570), partial mRNA
>XM_001390117.1 Aspergillus niger uncharacterized protein (An03g02580), partial mRNA
>XM_001390121.3 Aspergillus niger uncharacterized protein (An03g02620), partial mRNA
>XM_001390122.3 Aspergillus niger uncharacterized protein (An03g02630), partial mRNA
>XM_001390125.3 Aspergillus niger uncharacterized protein (An03g02650), partial mRNA
>XM_001390127.3 Aspergillus niger uncharacterized protein (An03g02670), partial mRNA
>XM_001390128.1 Aspergillus niger uncharacterized protein (An03g02680), partial mRNA
>XM_001390129.1 Aspergillus niger uncharacterized protein (An03g02690), partial mRNA
>XM_001390132.1 Aspergillus niger uncharacterized protein (An03g02720), partial mRNA
>XM_001390135.1 Aspergillus niger uncharacterized protein (An03g02750), partial mRNA
>XM_001390136.3 Aspergillus niger uncharacterized protein (An03g02770), partial mRNA
>XM_001390137.1 Aspergillus niger uncharacterized protein (An03g02780), partial mRNA
>XM_001390139.3 Aspergillus niger uncharacterized protein (An03g02800), partial mRNA
>XM_001390140.1 Aspergillus niger hypothetical protein (An03g02810), partial mRNA
>XM_001390141.1 Aspergillus niger uncharacterized protein (An03g02820), partial mRNA
>XM_001390143.1 Aspergillus niger uncharacterized protein (An03g02840), partial mRNA
>XM_001390146.1 Aspergillus niger uncharacterized protein (An03g02870), partial mRNA
>XM_001390147.3 Aspergillus niger uncharacterized protein (An03g02880), partial mRNA
>XM_001390148.3 Aspergillus niger uncharacterized protein (An03g02890), partial mRNA
>XM_001390150.1 Aspergillus niger hypothetical protein (An03g02910), partial mRNA
>XM_001390151.1 Aspergillus niger uncharacterized protein (An03g02920), partial mRNA
>XM_001390152.1 Aspergillus niger uncharacterized protein (An03g02930), partial mRNA
>XM_001390153.3 Aspergillus niger uncharacterized protein (An03g02940), partial mRNA
>XM_001390154.1 Aspergillus niger uncharacterized protein (An03g02950), partial mRNA
>XM_001390156.3 Aspergillus niger hypothetical protein (An03g02970), partial mRNA
>XM_001390157.3 Aspergillus niger uncharacterized protein (An03g02980), partial mRNA
>XM_001390158.3 Aspergillus niger uncharacterized protein (An03g02990), partial mRNA
>XM_001390159.3 Aspergillus niger uncharacterized protein (An03g03000), partial mRNA
>XM_001390162.1 Aspergillus niger uncharacterized protein (An03g03030), partial mRNA
>XM_001390173.3 Aspergillus niger uncharacterized protein (An03g03270), partial mRNA
>XM_001390175.3 Aspergillus niger uncharacterized protein (An03g03290), partial mRNA
>XM_001390176.3 Aspergillus niger uncharacterized protein (An03g03300), partial mRNA
>XM_001390179.1 Aspergillus niger uncharacterized protein (An03g03330), partial mRNA
>XM_001390180.3 Aspergillus niger uncharacterized protein (An03g03340), partial mRNA
>XM_001390182.3 Aspergillus niger uncharacterized protein (An03g03360), partial mRNA
>XM_001390185.1 Aspergillus niger uncharacterized protein (An03g03390), partial mRNA
>XM_001390187.1 Aspergillus niger uncharacterized protein (An03g03420), partial mRNA
>XM_001390191.3 Aspergillus niger uncharacterized protein (An03g03460), partial mRNA
>XM_001390192.3 Aspergillus niger uncharacterized protein (An03g03470), partial mRNA
>XM_001390194.3 Aspergillus niger hypothetical protein (An03g03490), partial mRNA
>XM_001390196.3 Aspergillus niger uncharacterized protein (An03g03510), partial mRNA
>XM_001390197.3 Aspergillus niger uncharacterized protein (An03g03520), partial mRNA
>XM_001390198.3 Aspergillus niger uncharacterized protein (An03g03530), partial mRNA
>XM_001390199.1 Aspergillus niger uncharacterized protein (An03g03540), partial mRNA
>XM_001390200.1 Aspergillus niger uncharacterized protein (An03g03550), partial mRNA
>XM_001390201.3 Aspergillus niger uncharacterized protein (An03g03560), partial mRNA
>XM_001390202.3 Aspergillus niger uncharacterized protein (An03g03570), partial mRNA
>XM_001390204.1 Aspergillus niger uncharacterized protein (An03g03590), partial mRNA
>XM_001390205.1 Aspergillus niger uncharacterized protein (An03g03600), partial mRNA
>XM_001390207.1 Aspergillus niger uncharacterized protein (An03g03620), partial mRNA
>XM_001390210.3 Aspergillus niger uncharacterized protein (An03g03660), partial mRNA
>XM_001390211.3 Aspergillus niger hypothetical protein (An03g03670), partial mRNA
>XM_001390214.3 Aspergillus niger uncharacterized protein (An03g03700), partial mRNA
>XM_001390215.1 Aspergillus niger uncharacterized protein (An03g03710), partial mRNA
>XM_001390216.3 Aspergillus niger uncharacterized protein (An03g03720), partial mRNA
>XM_001390217.3 Aspergillus niger uncharacterized protein (An03g03730), partial mRNA
>XM_001390218.3 Aspergillus niger uncharacterized protein (An03g03740), partial mRNA
>XM_001390219.3 Aspergillus niger uncharacterized protein (An03g03750), partial mRNA
