>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_742489.1 Aspergillus fumigatus Af293 ankyrin repeat protein (AFUA_6G04960), partial mRNA
>XM_742490.1 Aspergillus fumigatus Af293 mitochondrial GTPase (Mss1), putative (AFUA_6G04950), partial mRNA
>XM_742491.1 Aspergillus fumigatus Af293 cytokinesis protein SepA/Bni1 (AFUA_6G04940), partial mRNA
>XM_742492.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04930), partial mRNA
>XM_742493.1 Aspergillus fumigatus Af293 formate dehydrogenase (NAD+) FDH1 (AFUA_6G04920), partial mRNA
>XM_742494.2 Aspergillus fumigatus Af293 leucine--tRNA ligase NAM2 (AFUA_6G04910), partial mRNA
>XM_742495.2 Aspergillus fumigatus Af293 sucrase/ferredoxin-like family protein Fmi1, putative (AFUA_6G04900), partial mRNA
>XM_742496.1 Aspergillus fumigatus Af293 CAAX prenyl protease RCE1 (AFUA_6G04890), partial mRNA
>XM_742497.1 Aspergillus fumigatus Af293 serine-rich protein, putative (AFUA_6G04880), partial mRNA
>XM_742498.2 Aspergillus fumigatus Af293 lysophospholipid acyltransferase (AFUA_6G04860), partial mRNA
>XM_742499.1 Aspergillus fumigatus Af293 vacuolar protein sorting-associated protein VpsB (AFUA_6G04870), partial mRNA
>XM_742500.1 Aspergillus fumigatus Af293 short chain dehydrogenase/reductase family protein (AFUA_6G04850), partial mRNA
>XM_742501.1 Aspergillus fumigatus Af293 TRAPPII-specific subunit TRS120 (AFUA_6G04840), partial mRNA
>XM_742502.1 Aspergillus fumigatus Af293 HATPase_c domain protein, putative (AFUA_6G04830), partial mRNA
>XM_742503.1 Aspergillus fumigatus Af293 aminodeoxychorismate synthase pabA (AFUA_6G04820), partial mRNA
>XM_742504.1 Aspergillus fumigatus Af293 mediator complex subunit MED6 (AFUA_6G04810), partial mRNA
>XM_742505.1 Aspergillus fumigatus Af293 lysine decarboxylase-like protein (AFUA_6G04800), partial mRNA
>XM_742506.1 Aspergillus fumigatus Af293 proteasome core particle subunit alpha 6 (AFUA_6G04790), partial mRNA
>XM_742507.1 Aspergillus fumigatus Af293 Vacuolar protein sorting 55 superfamily (AFUA_6G04780), partial mRNA
>XM_742508.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04770), partial mRNA
>XM_742509.1 Aspergillus fumigatus Af293 UPF0220 domain protein (AFUA_6G04760), partial mRNA
>XM_742510.1 Aspergillus fumigatus Af293 Hsp70 nucleotide exchange factor FES1 (AFUA_6G04750), partial mRNA
>XM_742511.1 Aspergillus fumigatus Af293 actin ACT1 (AFUA_6G04740), partial mRNA
>XM_742512.1 Aspergillus fumigatus Af293 bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase (AFUA_6G04730), partial mRNA
>XM_742513.1 Aspergillus fumigatus Af293 mitochondrial mRNA processing protein PET127, putative (AFUA_6G04720), partial mRNA
>XM_742514.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04710), partial mRNA
>XM_742515.1 Aspergillus fumigatus Af293 imidazoleglycerol-phosphate dehydratase HIS3 (AFUA_6G04700), partial mRNA
>XM_742516.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04690), partial mRNA
>XM_742517.1 Aspergillus fumigatus Af293 MIPC synthase subunit (SurA), putative (AFUA_6G04680), partial mRNA
>XM_742518.1 Aspergillus fumigatus Af293 ER-associated proteolytic system protein Der1, putative (AFUA_6G04670), partial mRNA
>XM_742519.1 Aspergillus fumigatus Af293 centromere protein Cse4, putative (AFUA_6G04660), partial mRNA
>XM_742520.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04650), partial mRNA
>XM_742521.1 Aspergillus fumigatus Af293 hydrolase, alpha/beta fold family, putative (AFUA_6G04640), partial mRNA
>XM_742522.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04630), partial mRNA
>XM_742523.1 Aspergillus fumigatus Af293 NADH-ubiquinone oxidoreductase B14 subunit, putative (AFUA_6G04620), partial mRNA
>XM_742524.1 Aspergillus fumigatus Af293 DNA-directed RNA polymerase core subunit RPC19 (AFUA_6G04610), partial mRNA
>XM_742525.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04600), partial mRNA
>XM_742526.1 Aspergillus fumigatus Af293 pre-rRNA processing protein, putative (AFUA_6G04590), partial mRNA
>XM_742527.1 Aspergillus fumigatus Af293 NIF domain protein (AFUA_6G04580), partial mRNA
>XM_742528.1 Aspergillus fumigatus Af293 translation elongation factor eEF-1 subunit gamma, putative (AFUA_6G04570), partial mRNA
>XM_742529.1 Aspergillus fumigatus Af293 mitochondrial 37S ribosomal protein uS9m (AFUA_6G04560), partial mRNA
>XM_742530.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04550), partial mRNA
>XM_742531.1 Aspergillus fumigatus Af293 calcineurin regulatory subunit B (AFUA_6G04540), partial mRNA
>XM_742532.1 Aspergillus fumigatus Af293 histone acetyltransferase complex component Epl1, putative (AFUA_6G04530), partial mRNA
>XM_742533.1 Aspergillus fumigatus Af293 ribosomal lysine N-methyltransferase (AFUA_6G04520), partial mRNA
>XM_742534.1 Aspergillus fumigatus Af293 O-sialoglycoprotein endopeptidase (AFUA_6G04510), partial mRNA
>XM_742535.1 Aspergillus fumigatus Af293 Snf1 kinase complex beta-subunit Gal83, putative (AFUA_6G04500), partial mRNA
>XM_742536.1 Aspergillus fumigatus Af293 camp independent regulatory protein (AFUA_6G04490), partial mRNA
>XM_742538.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04470), partial mRNA
>XM_742539.1 Aspergillus fumigatus Af293 cardiolipin synthase (AFUA_6G04460), partial mRNA
>XM_742540.1 Aspergillus fumigatus Af293 alpha-1,2-mannosyltransferase (Mnn2), putative (AFUA_6G04450), partial mRNA
>XM_742541.1 Aspergillus fumigatus Af293 tRNA modification protein MTO1 (AFUA_6G04440), partial mRNA
>XM_742542.1 Aspergillus fumigatus Af293 acireductone dioxygenase (Ni2+-requiring) (AFUA_6G04430), partial mRNA
>XM_742543.1 Aspergillus fumigatus Af293 ERMES complex subunit MMM1 (AFUA_6G04420), partial mRNA
>XM_742544.1 Aspergillus fumigatus Af293 DUF1183 domain protein (AFUA_6G04410), partial mRNA
>XM_742545.1 Aspergillus fumigatus Af293 transcription factor TFIIIB subunit BDP1 (AFUA_6G04400), partial mRNA
>XM_742546.1 Aspergillus fumigatus Af293 E3 ubiquitin-protein ligase BRE1 (AFUA_6G04390), partial mRNA
>XM_742547.1 Aspergillus fumigatus Af293 protein kinase COQ8 (AFUA_6G04380), partial mRNA
>XM_742548.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G04370), partial mRNA
>XM_742549.1 Aspergillus fumigatus Af293 ABC drug exporter AtrF (AFUA_6G04360), partial mRNA
>XM_742550.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04350), partial mRNA
>XM_742551.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G04340), partial mRNA
>XM_742552.1 Aspergillus fumigatus Af293 ATP-dependent RNA helicase ECM16 (AFUA_6G04330), partial mRNA
>XM_742553.1 Aspergillus fumigatus Af293 U2-type spliceosomal complex subunit CWC21 (AFUA_6G04320), partial mRNA
>XM_742554.1 Aspergillus fumigatus Af293 mRNA-binding protein PUF3 (AFUA_6G04310), partial mRNA
>XM_742555.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04300), partial mRNA
>XM_742556.1 Aspergillus fumigatus Af293 mannose-ethanolamine phosphotransferase GPI13 (AFUA_6G04290), partial mRNA
>XM_742557.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G04280), partial mRNA
>XM_742559.1 Aspergillus fumigatus Af293 ribosome biosynthesis protein MAK16 (AFUA_6G04260), partial mRNA
>XM_742560.2 Aspergillus fumigatus Af293 pheromone-dependent cell cycle arrest protein Far11, putative (AFUA_6G04250), partial mRNA
>XM_742561.1 Aspergillus fumigatus Af293 PAP2 domain protein (AFUA_6G04240), partial mRNA
>XM_742562.1 Aspergillus fumigatus Af293 RBR-type E3 ubiquitin transferase (AFUA_6G04230), partial mRNA
>XM_742563.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04220), partial mRNA
>XM_742564.1 Aspergillus fumigatus Af293 mannosyl-oligosaccharide glucosidase (AFUA_6G04210), partial mRNA
>XM_742565.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04200), partial mRNA
>XM_742566.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04190), partial mRNA
>XM_742567.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04180), partial mRNA
>XM_742568.1 Aspergillus fumigatus Af293 Elongator subunit IKI1 (AFUA_6G04170), partial mRNA
>XM_742569.1 Aspergillus fumigatus Af293 SNAP receptor SEC22 (AFUA_6G04150), partial mRNA
>XM_742570.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04140), partial mRNA
>XM_742571.1 Aspergillus fumigatus Af293 short chain dehydrogenase/reductase family protein (AFUA_6G04120), partial mRNA
>XM_742573.1 Aspergillus fumigatus Af293 CLPTM1 domain protein (AFUA_6G04110), partial mRNA
>XM_742574.2 Aspergillus fumigatus Af293 Mis6 domain protein (AFUA_6G04100), partial mRNA
>XM_742575.2 Aspergillus fumigatus Af293 post-initiation translation factor DPC29 (AFUA_6G04090), partial mRNA
>XM_742576.1 Aspergillus fumigatus Af293 AP-1 complex accessory protein LAA1 (AFUA_6G04080), partial mRNA
>XM_742577.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04070), partial mRNA
>XM_742578.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04060), partial mRNA
>XM_742579.1 Aspergillus fumigatus Af293 cell proliferation protein CDC123 (AFUA_6G04050), partial mRNA
>XM_742580.1 Aspergillus fumigatus Af293 dodecenoyl-CoA isomerase (AFUA_6G04040), partial mRNA
>XM_742581.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04030), partial mRNA
>XM_742582.1 Aspergillus fumigatus Af293 peptidyl-tRNA hydrolase domain protein (AFUA_6G04020), partial mRNA
>XM_742583.1 Aspergillus fumigatus Af293 chromosome segregation protein Cse1, putative (AFUA_6G04010), partial mRNA
>XM_742584.1 Aspergillus fumigatus Af293 GTPase activating protein (Tsc2), putative (AFUA_6G04000), partial mRNA
>XM_742585.1 Aspergillus fumigatus Af293 GAS2 domain protein (AFUA_6G03990), partial mRNA
>XM_742586.1 Aspergillus fumigatus Af293 hexokinase, putative (AFUA_6G03980), partial mRNA
>XM_742587.1 Aspergillus fumigatus Af293 cell cycle checkpoint protein (Hus1), putative (AFUA_6G03970), partial mRNA
>XM_742588.1 Aspergillus fumigatus Af293 COPII coat assembly protein SEC16 (AFUA_6G03960), partial mRNA
>XM_742589.1 Aspergillus fumigatus Af293 aminophospholipid-translocating P4-type ATPase NEO1 (AFUA_6G03950), partial mRNA
>XM_742590.1 Aspergillus fumigatus Af293 GTPase-activating protein GYP7 (AFUA_6G03940), partial mRNA
>XM_742591.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03930), partial mRNA
>XM_742592.2 Aspergillus fumigatus Af293 iron-sulfur cluster-binding protein, putative (AFUA_6G03920), partial mRNA
>XM_742593.1 Aspergillus fumigatus Af293 integral membrane protein, Mpv17/PMP22 family, putative (AFUA_6G03910), partial mRNA
>XM_742594.1 Aspergillus fumigatus Af293 F-box domain protein (AFUA_6G03900), partial mRNA
>XM_742595.1 Aspergillus fumigatus Af293 spore-specific catalase CatA (AFUA_6G03890), partial mRNA
>XM_742596.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G03880), partial mRNA
>XM_742597.2 Aspergillus fumigatus Af293 tetratricopeptide repeat protein (AFUA_6G03870), partial mRNA
>XM_742598.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_6G03860), partial mRNA
>XM_742599.1 Aspergillus fumigatus Af293 signal recognition particle receptor subunit alpha (AFUA_6G03850), partial mRNA
>XM_742600.1 Aspergillus fumigatus Af293 protein transporter YIF1 (AFUA_6G03840), partial mRNA
>XM_742601.1 Aspergillus fumigatus Af293 60S ribosomal protein eL14 (AFUA_6G03830), partial mRNA
>XM_742602.1 Aspergillus fumigatus Af293 nascent polypeptide-associated complex (NAC) subunit, putative (AFUA_6G03820), partial mRNA
>XM_742603.1 Aspergillus fumigatus Af293 F1F0 ATP synthase subunit d (AFUA_6G03810), partial mRNA
>XM_742604.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03800), partial mRNA
>XM_742605.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03790), partial mRNA
>XM_742606.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03780), partial mRNA
>XM_742607.1 Aspergillus fumigatus Af293 oxidoreductase (Msc7), putative (AFUA_6G03770), partial mRNA
>XM_742608.1 Aspergillus fumigatus Af293 HhH-GPD family base excision DNA repair protein (AFUA_6G03760), partial mRNA
>XM_742609.1 Aspergillus fumigatus Af293 amidophosphoribosyltransferase (AFUA_6G03750), partial mRNA
>XM_742610.1 Aspergillus fumigatus Af293 C-5 cytosine methyltransferase DmtA (AFUA_6G03740), partial mRNA
>XM_742611.1 Aspergillus fumigatus Af293 putative 2-methylcitrate dehydratase (AFUA_6G03730), partial mRNA
>XM_742612.1 Aspergillus fumigatus Af293 MFS allantoate transporter, putative (AFUA_6G03720), partial mRNA
>XM_742613.1 Aspergillus fumigatus Af293 amidohydrolase, putative (AFUA_6G03710), partial mRNA
>XM_742614.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03700), partial mRNA
>XM_742615.1 Aspergillus fumigatus Af293 sodium P-type ATPase, putative (AFUA_6G03690), partial mRNA
>XM_742616.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G03680), partial mRNA
>XM_742617.1 Aspergillus fumigatus Af293 biotin synthase (AFUA_6G03670), partial mRNA
>XM_742618.1 Aspergillus fumigatus Af293 onanonoxo-7-onima-8-eninoihtemlysoneda (AFUA_6G03660), partial mRNA
>XM_742620.1 Aspergillus fumigatus Af293 aminotransferase, putative (AFUA_6G03640), partial mRNA
>XM_742621.2 Aspergillus fumigatus Af293 very-long-chain acyl-CoA synthetase family protein (CefD1), putative (AFUA_6G03630), partial mRNA
>XM_742622.1 Aspergillus fumigatus Af293 FAD/FMN-containing isoamyl alcohol oxidase MreA (AFUA_6G03620), partial mRNA
>XM_742624.1 Aspergillus fumigatus Af293 integral membrane protein (Pth11), putative (AFUA_6G03600), partial mRNA
>XM_742625.1 Aspergillus fumigatus Af293 citrate synthase Cit1, putative (AFUA_6G03590), partial mRNA
>XM_742626.1 Aspergillus fumigatus Af293 mRNA-nucleus export ATPase (Elf1), putative (AFUA_6G03580), partial mRNA
>XM_742627.1 Aspergillus fumigatus Af293 beta-glucosidase, putative (AFUA_6G03570), partial mRNA
>XM_742628.1 Aspergillus fumigatus Af293 IgE-binding protein, putative (AFUA_6G03560), partial mRNA
>XM_742629.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03550), partial mRNA
>XM_742630.1 Aspergillus fumigatus Af293 malate synthase AcuE (AFUA_6G03540), partial mRNA
>XM_742631.1 Aspergillus fumigatus Af293 glutamine synthetase, putative (AFUA_6G03530), partial mRNA
>XM_742632.1 Aspergillus fumigatus Af293 short-chain dehydrogenase/reductase family protein, putative (AFUA_6G03520), partial mRNA
>XM_742633.2 Aspergillus fumigatus Af293 flavin containing polyamine oxidase, putative (AFUA_6G03510), partial mRNA
>XM_742634.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03500), partial mRNA
>XM_742635.1 Aspergillus fumigatus Af293 phenol 2-monooxygenase, putative (AFUA_6G03490), partial mRNA
>XM_742636.1 Aspergillus fumigatus Af293 nonribosomal peptide synthase, putative (AFUA_6G03480), partial mRNA
>XM_742637.1 Aspergillus fumigatus Af293 ABC multidrug transporter, putative (AFUA_6G03470), partial mRNA
>XM_742638.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03460), partial mRNA
>XM_742639.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03450), partial mRNA
>XM_742640.1 Aspergillus fumigatus Af293 fructosyl amino acid oxidase, putative (AFUA_6G03440), partial mRNA
>XM_742641.1 Aspergillus fumigatus Af293 C6 finger domain protein, putative (AFUA_6G03430), partial mRNA
>XM_742643.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03400), partial mRNA
>XM_742644.2 Aspergillus fumigatus Af293 glutathione S-transferase family protein, putative (AFUA_6G03390), partial mRNA
>XM_742645.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03380), partial mRNA
>XM_742646.2 Aspergillus fumigatus Af293 short-chain dehydrogenase/reductase, putative (AFUA_6G03370), partial mRNA
>XM_742647.1 Aspergillus fumigatus Af293 ToxD-like zinc binding oxidoreductase, putative (AFUA_6G03360), partial mRNA
>XM_742648.1 Aspergillus fumigatus Af293 GNAT family N-acetyltransferase, putative (AFUA_6G03350), partial mRNA
>XM_742649.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03340), partial mRNA
>XM_742650.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03330), partial mRNA
>XM_742651.1 Aspergillus fumigatus Af293 MFS multidrug transporter, putative (AFUA_6G03320), partial mRNA
>XM_742652.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03310), partial mRNA
>XM_742653.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03300), partial mRNA
>XM_742654.1 Aspergillus fumigatus Af293 isochorismatase family hydrolase, putative (AFUA_6G03290), partial mRNA
>XM_742655.1 Aspergillus fumigatus Af293 swollenin, putative (AFUA_6G03280), partial mRNA
>XM_742656.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G03270), partial mRNA
>XM_742657.1 Aspergillus fumigatus Af293 aspartic endopeptidase (AP1), putative (AFUA_6G03260), partial mRNA
>XM_742658.2 Aspergillus fumigatus Af293 protein kinase, putative (AFUA_6G03252), partial mRNA
>XM_742660.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03240), partial mRNA
>XM_742661.1 Aspergillus fumigatus Af293 cell wall glucanase/allergen F16-like (AFUA_6G03230), partial mRNA
>XM_742662.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G03220), partial mRNA
>XM_742663.1 Aspergillus fumigatus Af293 conidiation-specific protein (Con-10), putative (AFUA_6G03210), partial mRNA
>XM_742664.1 Aspergillus fumigatus Af293 solute symporter family transporter (AFUA_6G03200), partial mRNA
>XM_742665.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G03190), partial mRNA
>XM_742666.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G03180), partial mRNA
>XM_742667.1 Aspergillus fumigatus Af293 NACHT domain protein (AFUA_6G03160), partial mRNA
>XM_742668.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03150), partial mRNA
>XM_742669.1 Aspergillus fumigatus Af293 oligopeptide transporter, putative (AFUA_6G03140), partial mRNA
>XM_742670.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G03130), partial mRNA
>XM_742671.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G03120), partial mRNA
>XM_742672.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_6G03110), partial mRNA
>XM_742673.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03100), partial mRNA
>XM_742674.1 Aspergillus fumigatus Af293 cytochrome P450 alkane hydroxylase, putative (AFUA_6G03090), partial mRNA
>XM_742675.1 Aspergillus fumigatus Af293 ABC multidrug transporter, putative (AFUA_6G03080), partial mRNA
>XM_742676.1 Aspergillus fumigatus Af293 extracellular dioxygenase, putative (AFUA_6G03070), partial mRNA
>XM_742677.1 Aspergillus fumigatus Af293 MFS monosaccharide transporter, putative (AFUA_6G03060), partial mRNA
>XM_742678.1 Aspergillus fumigatus Af293 oleate delta-12 desaturase (AFUA_6G03050), partial mRNA
>XM_742679.1 Aspergillus fumigatus Af293 MFS multidrug transporter, putative (AFUA_6G03040), partial mRNA
>XM_742681.2 Aspergillus fumigatus Af293 flavin-binding monooxygenase, putative (AFUA_6G03020), partial mRNA
>XM_742682.2 Aspergillus fumigatus Af293 C2H2 finger domain protein (Zms1), putative (AFUA_6G03010), partial mRNA
>XM_742684.2 Aspergillus fumigatus Af293 short chain dehydrogenase/reductase, putative (AFUA_6G02990), partial mRNA
>XM_742685.1 Aspergillus fumigatus Af293 extracellular exo-polygalacturonase, putative (AFUA_6G02980), partial mRNA
>XM_742686.1 Aspergillus fumigatus Af293 UPF0041 domain protein (AFUA_6G02970), partial mRNA
>XM_742687.1 Aspergillus fumigatus Af293 NADH-ubiquinone oxidoreductase 105 kDa subunit (AFUA_6G02960), partial mRNA
>XM_742688.1 Aspergillus fumigatus Af293 aromatic ring-opening dioxygenase LigB subunit, putative (AFUA_6G02950), partial mRNA
>XM_742689.1 Aspergillus fumigatus Af293 chitin synthase activator (Chs3), putative (AFUA_6G02940), partial mRNA
>XM_742690.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02930), partial mRNA
>XM_742691.1 Aspergillus fumigatus Af293 SNAP receptor SNC2 (AFUA_6G02920), partial mRNA
>XM_742692.1 Aspergillus fumigatus Af293 bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase (AFUA_6G02910), partial mRNA
>XM_742693.2 Aspergillus fumigatus Af293 Rad21/Rec8 N terminal domain protein (AFUA_6G02900), partial mRNA
>XM_742696.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02870), partial mRNA
>XM_742697.1 Aspergillus fumigatus Af293 methylisocitrate lyase ICL2 (AFUA_6G02860), partial mRNA
>XM_742698.2 Aspergillus fumigatus Af293 C6 finger domain protein, putative (AFUA_6G02850), partial mRNA
>XM_742699.1 Aspergillus fumigatus Af293 ethanolamine utilization protein (EutQ), putative (AFUA_6G02845), partial mRNA
>XM_742700.1 Aspergillus fumigatus Af293 serine/threonine protein kinase, putative (AFUA_6G02840), partial mRNA
>XM_742701.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02830), partial mRNA
>XM_742702.1 Aspergillus fumigatus Af293 metalloreductase, putative (AFUA_6G02820), partial mRNA
>XM_742703.1 Aspergillus fumigatus Af293 Ctr copper transporter, putative (AFUA_6G02810), partial mRNA
>XM_742704.1 Aspergillus fumigatus Af293 GPI anchored protein, putative (AFUA_6G02800), partial mRNA
>XM_742705.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02790), partial mRNA
>XM_742706.1 Aspergillus fumigatus Af293 palmitoyl-(protein) hydrolase (AFUA_6G02780), partial mRNA
>XM_742707.1 Aspergillus fumigatus Af293 short-chain dehydrogenase/reductase family protein, putative (AFUA_6G02770), partial mRNA
>XM_742708.1 Aspergillus fumigatus Af293 UDP-glucose-4-epimerase, putative (AFUA_6G02760), partial mRNA
>XM_742709.1 Aspergillus fumigatus Af293 nascent polypeptide-associated complex (NAC) subunit, putative (AFUA_6G02750), partial mRNA
>XM_742710.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G02740), partial mRNA
>XM_742711.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_6G02730), partial mRNA
>XM_742712.2 Aspergillus fumigatus Af293 FMN dependent dehydrogenase, putative (AFUA_6G02720), partial mRNA
>XM_742713.1 Aspergillus fumigatus Af293 lipase, putative (AFUA_6G02710), partial mRNA
>XM_742714.1 Aspergillus fumigatus Af293 DNA repair ATPase SMC5 (AFUA_6G02700), partial mRNA
>XM_742715.1 Aspergillus fumigatus Af293 C2H2 finger domain protein, putative (AFUA_6G02690), partial mRNA
>XM_742716.1 Aspergillus fumigatus Af293 ankyrin repeat and BTB/POZ domain protein (AFUA_6G02680), partial mRNA
>XM_742717.1 Aspergillus fumigatus Af293 serine/threonine protein kinase nimA (AFUA_6G02670), partial mRNA
>XM_742718.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02660), partial mRNA
>XM_742719.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02650), partial mRNA
>XM_742720.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G02640), partial mRNA
>XM_742721.1 Aspergillus fumigatus Af293 ATP-dependent RNA helicase SUB2 (AFUA_6G02630), partial mRNA
>XM_742722.1 Aspergillus fumigatus Af293 2-dehydropantoate 2-reductase, putative (AFUA_6G02620), partial mRNA
>XM_742723.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02610), partial mRNA
>XM_742724.1 Aspergillus fumigatus Af293 phosphoglycerate mutase family protein (AFUA_6G02600), partial mRNA
>XM_742725.1 Aspergillus fumigatus Af293 protein kinase, putative (AFUA_6G02590), partial mRNA
>XM_742726.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G02580), partial mRNA
>XM_742727.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02575), partial mRNA
>XM_742728.1 Aspergillus fumigatus Af293 tRNA (uracil) methyltransferase (AFUA_6G02570), partial mRNA
>XM_742729.1 Aspergillus fumigatus Af293 alpha-galactosidase, putative (AFUA_6G02560), partial mRNA
>XM_742730.1 Aspergillus fumigatus Af293 magnesium ion transporter (Mrs2), putative (AFUA_6G02550), partial mRNA
>XM_742731.1 Aspergillus fumigatus Af293 actin associated protein Wsp1, putative (AFUA_6G02540), partial mRNA
>XM_742732.1 Aspergillus fumigatus Af293 ssDNA endodeoxyribonuclease RAD1 (AFUA_6G02530), partial mRNA
>XM_742733.1 Aspergillus fumigatus Af293 translation initiation complex factor eIF1A (AFUA_6G02520), partial mRNA
>XM_742734.1 Aspergillus fumigatus Af293 chitin biosynthesis protein (Chs5), putative (AFUA_6G02510), partial mRNA
>XM_742735.1 Aspergillus fumigatus Af293 aspartate transaminase, putative (AFUA_6G02490), partial mRNA
>XM_742736.1 Aspergillus fumigatus Af293 esterase, putative (AFUA_6G02480), partial mRNA
>XM_742737.1 Aspergillus fumigatus Af293 fumarate hydratase, putative (AFUA_6G02470), partial mRNA
>XM_742738.1 Aspergillus fumigatus Af293 glucosamine 6-phosphate N-acetyltransferase (AFUA_6G02460), partial mRNA
>XM_742739.1 Aspergillus fumigatus Af293 40S ribosomal protein eS30 (AFUA_6G02450), partial mRNA
>XM_742740.1 Aspergillus fumigatus Af293 60S ribosomal protein eL24 (AFUA_6G02440), partial mRNA
>XM_742741.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02430), partial mRNA
>XM_742742.1 Aspergillus fumigatus Af293 E2 ubiquitin-conjugating protein UBC13 (AFUA_6G02420), partial mRNA
>XM_742743.1 Aspergillus fumigatus Af293 Mtc5p (AFUA_6G02410), partial mRNA
>XM_742744.1 Aspergillus fumigatus Af293 MFS drug efflux pump, putative (AFUA_6G02400), partial mRNA
>XM_742745.1 Aspergillus fumigatus Af293 thioesterase family protein (AFUA_6G02390), partial mRNA
>XM_742746.1 Aspergillus fumigatus Af293 ubiquitin-specific protease UBP6 (AFUA_6G02380), partial mRNA
>XM_742747.1 Aspergillus fumigatus Af293 ARP2/3 complex 20 kDa subunit (p20-ARC), putative (AFUA_6G02370), partial mRNA
