>XM_023605096.1 Rhizopus microsporus ATCC 52813 serine protease (RHIMIDRAFT_10000), mRNA
>XM_023607145.1 Rhizopus microsporus ATCC 52813 DnaJ-domain-containing protein (RHIMIDRAFT_209517), partial mRNA
>XM_023607146.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_209532), partial mRNA
>XM_023607147.1 Rhizopus microsporus ATCC 52813 Pkinase-domain-containing protein (RHIMIDRAFT_209541), partial mRNA
>XM_023607148.1 Rhizopus microsporus ATCC 52813 putative CDK1 (RHIMIDRAFT_209546), partial mRNA
>XM_023607149.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_209578), partial mRNA
>XM_023607150.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_209579), partial mRNA
>XM_023607151.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_20960), mRNA
>XM_023607152.1 Rhizopus microsporus ATCC 52813 mitochondrial fission 1 protein (RHIMIDRAFT_209612), partial mRNA
>XM_023607153.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_209616), partial mRNA
>XM_023607154.1 Rhizopus microsporus ATCC 52813 glutathione S-transferase (RHIMIDRAFT_209623), partial mRNA
>XM_023607155.1 Rhizopus microsporus ATCC 52813 DNA-binding domain of Mlu1-box binding protein MBP1 (RHIMIDRAFT_209624), partial mRNA
>XM_023607156.1 Rhizopus microsporus ATCC 52813 HSP40/DnaJ peptide-binding protein (RHIMIDRAFT_209687), partial mRNA
>XM_023607157.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_209690), partial mRNA
>XM_023607158.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_209733), mRNA
>XM_023607159.1 Rhizopus microsporus ATCC 52813 60S ribosomal protein L34 (RHIMIDRAFT_209750), partial mRNA
>XM_023607160.1 Rhizopus microsporus ATCC 52813 glycosyltransferase family 39 protein (RHIMIDRAFT_209857), mRNA
>XM_023607161.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_209876), mRNA
>XM_023607162.1 Rhizopus microsporus ATCC 52813 eukaryotic translation initiation factor 3 subunit 6 (RHIMIDRAFT_209895), mRNA
>XM_023607163.1 Rhizopus microsporus ATCC 52813 DUF667-domain-containing protein (RHIMIDRAFT_209917), partial mRNA
>XM_023607164.1 Rhizopus microsporus ATCC 52813 nicotinate phosphoribosyltransferase (RHIMIDRAFT_209936), mRNA
>XM_023607165.1 Rhizopus microsporus ATCC 52813 camp-dependent protein kinase A (RHIMIDRAFT_209971), mRNA
>XM_023607166.1 Rhizopus microsporus ATCC 52813 phospholipase D/nuclease (RHIMIDRAFT_210012), mRNA
>XM_023607167.1 Rhizopus microsporus ATCC 52813 adenylylsulfate kinase (RHIMIDRAFT_210066), mRNA
>XM_023607168.1 Rhizopus microsporus ATCC 52813 translation initiation factor eIF-5A (RHIMIDRAFT_210087), mRNA
>XM_023607169.1 Rhizopus microsporus ATCC 52813 ARM repeat-containing protein (RHIMIDRAFT_210103), partial mRNA
>XM_023607170.1 Rhizopus microsporus ATCC 52813 putative RFC3-DNA replication factor C, 40 kDa subunit (RHIMIDRAFT_210206), mRNA
>XM_023607171.1 Rhizopus microsporus ATCC 52813 cysteine proteinase (RHIMIDRAFT_210271), mRNA
>XM_023607172.1 Rhizopus microsporus ATCC 52813 chaperonin-containing T-complex subunit CCT2 (RHIMIDRAFT_210324), mRNA
>XM_023607173.1 Rhizopus microsporus ATCC 52813 NAD(P)-binding protein (RHIMIDRAFT_210456), mRNA
>XM_023607174.1 Rhizopus microsporus ATCC 52813 pyruvate kinase (RHIMIDRAFT_210559), mRNA
>XM_023607175.1 Rhizopus microsporus ATCC 52813 ATP-dependent protease La (RHIMIDRAFT_210581), mRNA
>XM_023607176.1 Rhizopus microsporus ATCC 52813 RNA polymerase Rpc34 (RHIMIDRAFT_210606), mRNA
>XM_023607177.1 Rhizopus microsporus ATCC 52813 Choline/ethanolaminephosphotransferase (RHIMIDRAFT_210628), mRNA
>XM_023607178.1 Rhizopus microsporus ATCC 52813 lysyl-tRNA synthetase (RHIMIDRAFT_210674), mRNA
>XM_023607179.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_210757), mRNA
>XM_023607180.1 Rhizopus microsporus ATCC 52813 acetyl-CoA synthetase-like protein (RHIMIDRAFT_210794), mRNA
>XM_023607181.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_210808), mRNA
>XM_023607182.1 Rhizopus microsporus ATCC 52813 12-oxo-phytodienoic acid-like protein (RHIMIDRAFT_210812), mRNA
>XM_023607183.1 Rhizopus microsporus ATCC 52813 HIT-like protein (RHIMIDRAFT_210878), mRNA
>XM_023607184.1 Rhizopus microsporus ATCC 52813 ribosomal protein S16 (RHIMIDRAFT_210896), mRNA
>XM_023607185.1 Rhizopus microsporus ATCC 52813 TPR-like protein (RHIMIDRAFT_210935), mRNA
>XM_023607186.1 Rhizopus microsporus ATCC 52813 MFS general substrate transporter (RHIMIDRAFT_210944), partial mRNA
>XM_023607187.1 Rhizopus microsporus ATCC 52813 ribosomal protein L24 (RHIMIDRAFT_210959), mRNA
>XM_023607188.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_210996), mRNA
>XM_023607189.1 Rhizopus microsporus ATCC 52813 nicotinate-nucleotide diphosphorylase (RHIMIDRAFT_211115), partial mRNA
>XM_023607190.1 Rhizopus microsporus ATCC 52813 DEAD-domain-containing protein (RHIMIDRAFT_211172), partial mRNA
>XM_023607191.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_211193), mRNA
>XM_023607192.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_211203), mRNA
>XM_023607193.1 Rhizopus microsporus ATCC 52813 coatomer subunit epsilon (RHIMIDRAFT_211288), mRNA
>XM_023607194.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_21134), mRNA
>XM_023607195.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_211346), mRNA
>XM_023607196.1 Rhizopus microsporus ATCC 52813 putative ADP-ribosylation factor-like 10C (RHIMIDRAFT_211452), mRNA
>XM_023607197.1 Rhizopus microsporus ATCC 52813 chitin deacetylase 2 (RHIMIDRAFT_211482), mRNA
>XM_023607198.1 Rhizopus microsporus ATCC 52813 apses-domain-containing protein (RHIMIDRAFT_211503), mRNA
>XM_023607199.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_211606), mRNA
>XM_023607200.1 Rhizopus microsporus ATCC 52813 putative RNA helicase (RHIMIDRAFT_211626), mRNA
>XM_023607201.1 Rhizopus microsporus ATCC 52813 Sm-like ribonucleoprotein (RHIMIDRAFT_211676), mRNA
>XM_023607202.1 Rhizopus microsporus ATCC 52813 Na+/K+ P-type ATPase (RHIMIDRAFT_211717), mRNA
>XM_023607203.1 Rhizopus microsporus ATCC 52813 Zinc/iron permease (RHIMIDRAFT_211770), mRNA
>XM_023607204.1 Rhizopus microsporus ATCC 52813 Deoxyhypusine synthase (RHIMIDRAFT_211777), mRNA
>XM_023607205.1 Rhizopus microsporus ATCC 52813 MFS general substrate transporter (RHIMIDRAFT_211788), mRNA
>XM_023607206.1 Rhizopus microsporus ATCC 52813 heat shock protein 60 precursor (antigen HIS-62) (RHIMIDRAFT_211808), mRNA
>XM_023607207.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_211822), mRNA
>XM_023607208.1 Rhizopus microsporus ATCC 52813 Six-hairpin glycosidase (RHIMIDRAFT_211861), mRNA
>XM_023607209.1 Rhizopus microsporus ATCC 52813 acetyl-CoA carboxylase (RHIMIDRAFT_211889), mRNA
>XM_023607210.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_211895), mRNA
>XM_023607211.1 Rhizopus microsporus ATCC 52813 transaldolase (RHIMIDRAFT_212157), mRNA
>XM_023607212.1 Rhizopus microsporus ATCC 52813 riboflavin kinase (RHIMIDRAFT_212229), mRNA
>XM_023607213.1 Rhizopus microsporus ATCC 52813 C-22 sterol desaturase Erg5 (RHIMIDRAFT_212312), mRNA
>XM_023607214.1 Rhizopus microsporus ATCC 52813 eukaryotic translation initiation factor SUI1 (RHIMIDRAFT_212326), mRNA
>XM_023607215.1 Rhizopus microsporus ATCC 52813 CNDP dipeptidase (RHIMIDRAFT_212400), mRNA
>XM_023607216.1 Rhizopus microsporus ATCC 52813 ALDH-like protein (RHIMIDRAFT_212412), mRNA
>XM_023607217.1 Rhizopus microsporus ATCC 52813 ARM repeat-containing protein (RHIMIDRAFT_212426), mRNA
>XM_023607218.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_212486), mRNA
>XM_023607219.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_212538), mRNA
>XM_023607220.1 Rhizopus microsporus ATCC 52813 MCM-domain-containing protein (RHIMIDRAFT_212554), mRNA
>XM_023607221.1 Rhizopus microsporus ATCC 52813 exosome non-catalytic core subunit RRP40 (RHIMIDRAFT_212703), mRNA
>XM_023607222.1 Rhizopus microsporus ATCC 52813 acetyl-CoA synthetase-like protein (RHIMIDRAFT_212705), mRNA
>XM_023607223.1 Rhizopus microsporus ATCC 52813 30S ribosomal protein S17 (RHIMIDRAFT_212706), mRNA
>XM_023607224.1 Rhizopus microsporus ATCC 52813 Six-hairpin glycosidase (RHIMIDRAFT_212735), mRNA
>XM_023607225.1 Rhizopus microsporus ATCC 52813 DUF89-domain-containing protein (RHIMIDRAFT_212749), mRNA
>XM_023607226.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_212753), mRNA
>XM_023607227.1 Rhizopus microsporus ATCC 52813 snare-like protein (RHIMIDRAFT_212834), mRNA
>XM_023607228.1 Rhizopus microsporus ATCC 52813 nucleotide-diphospho-sugar transferase (RHIMIDRAFT_212846), mRNA
>XM_023607229.1 Rhizopus microsporus ATCC 52813 putative AVT6-involved in amino acid efflux from the vacuole (RHIMIDRAFT_212860), mRNA
>XM_023607230.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_212904), mRNA
>XM_023607231.1 Rhizopus microsporus ATCC 52813 phenylalanyl-tRNA synthetase (RHIMIDRAFT_212946), mRNA
>XM_023607232.1 Rhizopus microsporus ATCC 52813 OPT superfamily oligopeptide transporter (RHIMIDRAFT_212956), mRNA
>XM_023607233.1 Rhizopus microsporus ATCC 52813 peptidyl-tRNA hydrolase II (RHIMIDRAFT_212988), mRNA
>XM_023607234.1 Rhizopus microsporus ATCC 52813 enolase (RHIMIDRAFT_213046), mRNA
>XM_023607235.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_21308), mRNA
>XM_023607236.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_213091), mRNA
>XM_023607237.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_213126), mRNA
>XM_023607238.1 Rhizopus microsporus ATCC 52813 Erg28-like protein (RHIMIDRAFT_213136), mRNA
>XM_023607239.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_213171), partial mRNA
>XM_023607240.1 Rhizopus microsporus ATCC 52813 ubiquitin-conjugating enzyme E2 8 (RHIMIDRAFT_213193), mRNA
>XM_023607241.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_213209), mRNA
>XM_023607242.1 Rhizopus microsporus ATCC 52813 replication factor-A protein (RHIMIDRAFT_213236), mRNA
>XM_023607243.1 Rhizopus microsporus ATCC 52813 aminoimidazole ribonucleotide synthetase (RHIMIDRAFT_213271), mRNA
>XM_023607244.1 Rhizopus microsporus ATCC 52813 rab GTPase activator (RHIMIDRAFT_21329), mRNA
>XM_023607245.1 Rhizopus microsporus ATCC 52813 Rho GTPase Rho3 (RHIMIDRAFT_213306), mRNA
>XM_023607246.1 Rhizopus microsporus ATCC 52813 chitin deacetylase 1 (RHIMIDRAFT_213325), mRNA
>XM_023607247.1 Rhizopus microsporus ATCC 52813 ARM repeat-containing protein (RHIMIDRAFT_213404), mRNA
>XM_023607248.1 Rhizopus microsporus ATCC 52813 NADH-ubiquinone oxidoreductase 9.5 kDa subunit (RHIMIDRAFT_213465), mRNA
>XM_023607249.1 Rhizopus microsporus ATCC 52813 sulfate permease (RHIMIDRAFT_213470), mRNA
>XM_023607250.1 Rhizopus microsporus ATCC 52813 TBC-domain-containing protein (RHIMIDRAFT_213502), mRNA
>XM_023607251.1 Rhizopus microsporus ATCC 52813 AAA-domain-containing protein (RHIMIDRAFT_213504), mRNA
>XM_023607252.1 Rhizopus microsporus ATCC 52813 RBP11-like subunits of RNA polymerase (RHIMIDRAFT_213567), partial mRNA
>XM_023607253.1 Rhizopus microsporus ATCC 52813 guanine nucleotide-binding protein subunit gamma (RHIMIDRAFT_213599), mRNA
>XM_023607254.1 Rhizopus microsporus ATCC 52813 alcohol dehydrogenase (RHIMIDRAFT_213641), mRNA
>XM_023607255.1 Rhizopus microsporus ATCC 52813 TPR-like protein (RHIMIDRAFT_213684), mRNA
>XM_023607256.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_213736), mRNA
>XM_023607257.1 Rhizopus microsporus ATCC 52813 PLP-dependent transferase (RHIMIDRAFT_213851), mRNA
>XM_023607258.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_213854), mRNA
>XM_023607259.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_213890), mRNA
>XM_023607260.1 Rhizopus microsporus ATCC 52813 HSP20-like chaperone (RHIMIDRAFT_213899), mRNA
>XM_023607261.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_213994), mRNA
>XM_023607262.1 Rhizopus microsporus ATCC 52813 DEAD-domain-containing protein (RHIMIDRAFT_214086), mRNA
>XM_023607263.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_214179), mRNA
>XM_023607264.1 Rhizopus microsporus ATCC 52813 Oligosaccharyl transferase 48 kDa subunit (RHIMIDRAFT_214195), mRNA
>XM_023607265.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_214202), mRNA
>XM_023607266.1 Rhizopus microsporus ATCC 52813 midasin (RHIMIDRAFT_214477), mRNA
>XM_023607267.1 Rhizopus microsporus ATCC 52813 GTP-binding protein ypt1 (RHIMIDRAFT_214489), mRNA
>XM_023607268.1 Rhizopus microsporus ATCC 52813 putative PUP3-20S proteasome subunit beta3 (RHIMIDRAFT_214494), mRNA
>XM_023607269.1 Rhizopus microsporus ATCC 52813 serine/threonine-protein phosphatase 2A catalytic subunit beta isoform (RHIMIDRAFT_214497), mRNA
>XM_023607270.1 Rhizopus microsporus ATCC 52813 kinase-like protein (RHIMIDRAFT_21458), mRNA
>XM_023607271.1 Rhizopus microsporus ATCC 52813 IGPD-domain-containing protein (RHIMIDRAFT_214585), mRNA
>XM_023607272.1 Rhizopus microsporus ATCC 52813 acyl-CoA dehydrogenase NM domain-like protein (RHIMIDRAFT_214692), mRNA
>XM_023607273.1 Rhizopus microsporus ATCC 52813 BRCT domain-containing protein (RHIMIDRAFT_214846), mRNA
>XM_023607274.1 Rhizopus microsporus ATCC 52813 phosphoribosylaminoimidazole-succinocarboxamide synthase (RHIMIDRAFT_214963), mRNA
>XM_023607275.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_214971), partial mRNA
>XM_023607276.1 Rhizopus microsporus ATCC 52813 phosphotransferase KptA/Tpt1 (RHIMIDRAFT_215100), mRNA
>XM_023607277.1 Rhizopus microsporus ATCC 52813 complex I intermediate-associated protein-like protein CIA30 (RHIMIDRAFT_215113), mRNA
>XM_023607278.1 Rhizopus microsporus ATCC 52813 carbamoyl-phosphate synth (RHIMIDRAFT_215225), mRNA
>XM_023607279.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_215230), partial mRNA
>XM_023607280.1 Rhizopus microsporus ATCC 52813 SRF-TF-domain-containing protein (RHIMIDRAFT_215238), mRNA
>XM_023607281.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_215257), mRNA
>XM_023607282.1 Rhizopus microsporus ATCC 52813 FTHFS-domain-containing protein (RHIMIDRAFT_215260), mRNA
>XM_023607283.1 Rhizopus microsporus ATCC 52813 zf-DHHC-domain-containing protein (RHIMIDRAFT_215341), mRNA
>XM_023607284.1 Rhizopus microsporus ATCC 52813 ATP synthase F1 gamma (RHIMIDRAFT_215348), mRNA
>XM_023607285.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_215417), mRNA
>XM_023607286.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_215438), partial mRNA
>XM_023607287.1 Rhizopus microsporus ATCC 52813 PRTase-like protein (RHIMIDRAFT_215502), mRNA
>XM_023607288.1 Rhizopus microsporus ATCC 52813 allantoinase (RHIMIDRAFT_215526), mRNA
>XM_023607289.1 Rhizopus microsporus ATCC 52813 guanine nucleotide binding protein, alpha subunit (RHIMIDRAFT_215598), mRNA
>XM_023607290.1 Rhizopus microsporus ATCC 52813 BOP1NT-domain-containing protein (RHIMIDRAFT_215604), mRNA
>XM_023607291.1 Rhizopus microsporus ATCC 52813 putative glutamate--tRNA ligase, cytoplasmic (RHIMIDRAFT_21562), mRNA
>XM_023607292.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_215677), mRNA
>XM_023607293.1 Rhizopus microsporus ATCC 52813 antioxidant, AhpC/TSA family (RHIMIDRAFT_215711), mRNA
>XM_023607294.1 Rhizopus microsporus ATCC 52813 WH1-domain-containing protein (RHIMIDRAFT_215756), partial mRNA
>XM_023607295.1 Rhizopus microsporus ATCC 52813 TMEM14-domain-containing protein (RHIMIDRAFT_215760), mRNA
>XM_023607296.1 Rhizopus microsporus ATCC 52813 DNA-binding domain of Mlu1-box binding protein MBP1 (RHIMIDRAFT_215810), mRNA
>XM_023607297.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_215911), mRNA
>XM_023607298.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_215986), mRNA
>XM_023607299.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_216006), mRNA
>XM_023607300.1 Rhizopus microsporus ATCC 52813 cleavage and polyadenylation specificity factor 3, isoform CRA_b (RHIMIDRAFT_216023), mRNA
>XM_023607301.1 Rhizopus microsporus ATCC 52813 DNA helicase (RHIMIDRAFT_216072), mRNA
>XM_023607302.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_21611), mRNA
>XM_023607303.1 Rhizopus microsporus ATCC 52813 T-complex protein 1 (RHIMIDRAFT_216113), mRNA
>XM_023607304.1 Rhizopus microsporus ATCC 52813 glutathione-dependent formaldehyde-activating GFA (RHIMIDRAFT_216279), mRNA
>XM_023607305.1 Rhizopus microsporus ATCC 52813 nucleoside phosphatase GDA1/CD39 (RHIMIDRAFT_216289), mRNA
>XM_023607306.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_216303), mRNA
>XM_023607307.1 Rhizopus microsporus ATCC 52813 Mg-dependent DNase (RHIMIDRAFT_216344), mRNA
>XM_023607308.1 Rhizopus microsporus ATCC 52813 UPF0187-domain-containing protein (RHIMIDRAFT_216563), mRNA
>XM_023607309.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_216596), mRNA
>XM_023607310.1 Rhizopus microsporus ATCC 52813 asparagine synthase (RHIMIDRAFT_216612), partial mRNA
>XM_023607311.1 Rhizopus microsporus ATCC 52813 ATP-dependent DNA helicase (RHIMIDRAFT_216636), mRNA
>XM_023607312.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_21669), mRNA
>XM_023607313.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_216805), mRNA
>XM_023607314.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_216817), mRNA
>XM_023607315.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_21684), mRNA
>XM_023607316.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_216858), mRNA
>XM_023607317.1 Rhizopus microsporus ATCC 52813 mRNA-binding ribosome synthesis protein NOP7 (RHIMIDRAFT_216958), mRNA
>XM_023607318.1 Rhizopus microsporus ATCC 52813 succinyl-CoA ligase beta-chain (RHIMIDRAFT_217031), mRNA
>XM_023607319.1 Rhizopus microsporus ATCC 52813 aconitase (RHIMIDRAFT_217093), mRNA
>XM_023607320.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_217123), mRNA
>XM_023607321.1 Rhizopus microsporus ATCC 52813 PP2C-domain-containing protein (RHIMIDRAFT_217139), mRNA
>XM_023607322.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_21715), mRNA
>XM_023607323.1 Rhizopus microsporus ATCC 52813 3-deoxy-7-phosphoheptulonate synthase (RHIMIDRAFT_217263), mRNA
>XM_023607324.1 Rhizopus microsporus ATCC 52813 alcohol dehydrogenase (RHIMIDRAFT_217285), partial mRNA
>XM_023607325.1 Rhizopus microsporus ATCC 52813 DUF1394-domain-containing protein (RHIMIDRAFT_217288), mRNA
>XM_023607326.1 Rhizopus microsporus ATCC 52813 solute carrier family 25 protein (RHIMIDRAFT_217292), partial mRNA
>XM_023607327.1 Rhizopus microsporus ATCC 52813 4-dihydrotrisporin dehydrogenase (RHIMIDRAFT_217377), mRNA
>XM_023607328.1 Rhizopus microsporus ATCC 52813 exocyst complex component Sec10 (RHIMIDRAFT_217422), mRNA
>XM_023607329.1 Rhizopus microsporus ATCC 52813 snare Ykt6 (RHIMIDRAFT_217476), mRNA
>XM_023607330.1 Rhizopus microsporus ATCC 52813 60S ribosomal protein L12 (RHIMIDRAFT_217483), partial mRNA
>XM_023607331.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_217511), mRNA
>XM_023607332.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_217599), mRNA
>XM_023607333.1 Rhizopus microsporus ATCC 52813 Gaa1-domain-containing protein (RHIMIDRAFT_21762), mRNA
>XM_023607334.1 Rhizopus microsporus ATCC 52813 NAD and Zn-dependent alcohol dehydrogenase (RHIMIDRAFT_217653), mRNA
>XM_023607335.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_217656), mRNA
>XM_023607336.1 Rhizopus microsporus ATCC 52813 FtsJ-domain-containing protein (RHIMIDRAFT_217745), partial mRNA
>XM_023607337.1 Rhizopus microsporus ATCC 52813 cwf21-domain-containing protein (RHIMIDRAFT_217794), mRNA
>XM_023607338.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_217849), mRNA
>XM_023607339.1 Rhizopus microsporus ATCC 52813 acyl-CoA dehydrogenase NM domain-like protein (RHIMIDRAFT_217899), mRNA
>XM_023607340.1 Rhizopus microsporus ATCC 52813 heme oxygenase-like protein (RHIMIDRAFT_217950), mRNA
>XM_023607341.1 Rhizopus microsporus ATCC 52813 cora-domain-containing protein (RHIMIDRAFT_217961), mRNA
>XM_023607342.1 Rhizopus microsporus ATCC 52813 STE-domain-containing protein (RHIMIDRAFT_218001), mRNA
>XM_023607343.1 Rhizopus microsporus ATCC 52813 Pkinase-domain-containing protein (RHIMIDRAFT_218004), partial mRNA
>XM_023607344.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_218045), mRNA
>XM_023607345.1 Rhizopus microsporus ATCC 52813 inositol phosphatase (RHIMIDRAFT_218074), mRNA
>XM_023607346.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_21811), mRNA
>XM_023607347.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_218120), mRNA
>XM_023607348.1 Rhizopus microsporus ATCC 52813 homeobox-domain-containing protein (RHIMIDRAFT_218137), mRNA
>XM_023607349.1 Rhizopus microsporus ATCC 52813 ribosomal protein L5 (RHIMIDRAFT_218197), mRNA
>XM_023607350.1 Rhizopus microsporus ATCC 52813 Rft-1-domain-containing protein (RHIMIDRAFT_218248), mRNA
>XM_023607351.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_218287), mRNA
>XM_023607352.1 Rhizopus microsporus ATCC 52813 glycoside hydrolase (RHIMIDRAFT_218375), mRNA
>XM_023607353.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_218399), mRNA
>XM_023607354.1 Rhizopus microsporus ATCC 52813 3-oxoacyl-reductase (RHIMIDRAFT_218426), mRNA
>XM_023607355.1 Rhizopus microsporus ATCC 52813 porphobilinogen deaminase (RHIMIDRAFT_21859), mRNA
>XM_023607356.1 Rhizopus microsporus ATCC 52813 sulfate adenylyltransferase (RHIMIDRAFT_218629), mRNA
>XM_023607357.1 Rhizopus microsporus ATCC 52813 bola-like protein (RHIMIDRAFT_218722), mRNA
>XM_023607358.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_218744), mRNA
>XM_023607359.1 Rhizopus microsporus ATCC 52813 MCM-domain-containing protein (RHIMIDRAFT_218762), mRNA
>XM_023607360.1 Rhizopus microsporus ATCC 52813 hexokinase (RHIMIDRAFT_218792), mRNA
>XM_023607361.1 Rhizopus microsporus ATCC 52813 NAD and Zn-dependent alcohol dehydrogenase (RHIMIDRAFT_218803), mRNA
>XM_023607362.1 Rhizopus microsporus ATCC 52813 pyruvate decarboxylase PdcB (RHIMIDRAFT_218849), mRNA
>XM_023607363.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_218862), mRNA
>XM_023607364.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_218915), mRNA
>XM_023607365.1 Rhizopus microsporus ATCC 52813 thioredoxin-like protein (RHIMIDRAFT_218929), partial mRNA
>XM_023607366.1 Rhizopus microsporus ATCC 52813 SET domain-containing protein (RHIMIDRAFT_218959), mRNA
>XM_023607367.1 Rhizopus microsporus ATCC 52813 putative endoplasmic reticulum protein (RHIMIDRAFT_219019), mRNA
>XM_023607368.1 Rhizopus microsporus ATCC 52813 SGT1-domain-containing protein (RHIMIDRAFT_219064), mRNA
>XM_023607369.1 Rhizopus microsporus ATCC 52813 chord-domain-containing protein (RHIMIDRAFT_219065), mRNA
>XM_023607370.1 Rhizopus microsporus ATCC 52813 Isy1-like splicing factor (RHIMIDRAFT_219077), mRNA
>XM_023607371.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_219124), partial mRNA
>XM_023607372.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_219152), mRNA
>XM_023607373.1 Rhizopus microsporus ATCC 52813 MFS general substrate transporter (RHIMIDRAFT_219185), mRNA
>XM_023607374.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_2192), mRNA
>XM_023607375.1 Rhizopus microsporus ATCC 52813 Mmp37-domain-containing protein (RHIMIDRAFT_219300), mRNA
